Rank,Sourceid,Title,Type,Issn,SJR,SJR Best Quartile,H index,Total Docs. (2022),Total Docs. (3years),Total Refs.,Total Cites (3years),Citable Docs. (3years),Cites / Doc. (2years),Ref. / Doc.,Country,Region,Publisher,Coverage,Categories,Areas,SJR Quartile
8,4700152228,Molecular Systems Biology,journal,17444292,"6,220",Q1,164,65,224,4390,2203,204,"8,76","67,54",United States,Northern America,Wiley-Blackwell,2005-2022,"Agricultural and Biological Sciences (miscellaneous) (Q1); Applied Mathematics (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Computational Theory and Mathematics (Q1); Immunology and Microbiology (miscellaneous)  (Q1); Information Systems (Q1); Medicine (miscellaneous) (Q1)","Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Computer Science; Immunology and Microbiology; Mathematics; Medicine",
152,4000151810,PLoS Computational Biology,journal,"15537358, 1553734X","1,872",Q1,205,904,2441,55211,11019,2417,"4,01","61,07",United States,Northern America,Public Library of Science,2005-2022,"Cellular and Molecular Neuroscience (Q1); Computational Theory and Mathematics (Q1); Ecology (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Genetics (Q1); Modeling and Simulation (Q1); Molecular Biology (Q1)","Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Computer Science; Environmental Science; Mathematics; Neuroscience",
158,13017,Physics of Life Reviews,journal,"18731457, 15710645","1,848",Q1,71,51,236,3860,548,51,"2,10","75,69",Netherlands,Western Europe,Elsevier,2004-2022,Agricultural and Biological Sciences (miscellaneous) (Q1); Artificial Intelligence (Q1); Physics and Astronomy (miscellaneous) (Q1),Agricultural and Biological Sciences; Computer Science; Physics and Astronomy,
165,19700188321,Database : the journal of biological databases and curation,journal,17580463,"1,786",Q1,77,114,369,4434,1897,369,"5,78","38,89",United Kingdom,Western Europe,Oxford University Press,2009-2022,"Agricultural and Biological Sciences (miscellaneous) (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Information Systems (Q1); Medicine (miscellaneous) (Q1)","Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Computer Science; Medicine",
184,21100850723,mSystems,journal,23795077,"1,691",Q1,65,324,1006,22298,6178,997,"5,82","68,82",United States,Northern America,American Society for Microbiology,2016-2022,"Biochemistry (Q1); Computer Science Applications (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Genetics (Q1); Microbiology (Q1); Modeling and Simulation (Q1); Molecular Biology (Q1); Physiology (Q1)","Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Computer Science; Immunology and Microbiology; Mathematics",
205,30441,Computers and Electronics in Agriculture,journal,01681699,"1,587",Q1,149,819,1773,39409,18088,1772,"9,82","48,12",Netherlands,Western Europe,Elsevier,1985-2022,Agronomy and Crop Science (Q1); Animal Science and Zoology (Q1); Computer Science Applications (Q1); Forestry (Q1); Horticulture (Q1),Agricultural and Biological Sciences; Computer Science,
310,21101042196,Artificial Intelligence in Agriculture,journal,25897217,"1,202",Q1,11,25,33,1444,476,33,"10,26","57,76",China,Asiatic Region,KeAi Communications Co.,2019-2022,Agricultural and Biological Sciences (miscellaneous) (Q1); Artificial Intelligence (Q1); Computer Science Applications (Q1); Computer Science (miscellaneous) (Q1); Engineering (miscellaneous) (Q1),Agricultural and Biological Sciences; Computer Science; Engineering,
451,21100804573,Information Processing in Agriculture,journal,22143173,"0,963",Q1,45,84,145,3963,1327,145,"10,60","47,18",China,Asiatic Region,Elsevier BV,2014-2022,Agronomy and Crop Science (Q1); Animal Science and Zoology (Q1); Aquatic Science (Q1); Computer Science Applications (Q1); Forestry (Q1),Agricultural and Biological Sciences; Computer Science,
477,3100147401,Ecological Informatics,journal,15749541,"0,915",Q1,66,374,463,23953,2692,461,"5,78","64,05",Netherlands,Western Europe,Elsevier,2006-2022,"Applied Mathematics (Q1); Computational Theory and Mathematics (Q1); Ecological Modeling (Q1); Ecology (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Modeling and Simulation (Q1); Computer Science Applications (Q2)",Agricultural and Biological Sciences; Computer Science; Environmental Science; Mathematics,
562,21100810702,Animal Biotelemetry,journal,20503385,"0,813",Q2,29,39,106,2319,303,104,"2,70","59,46",United Kingdom,Western Europe,BioMed Central Ltd.,2013-2022,Animal Science and Zoology (Q1); Instrumentation (Q1); Computer Networks and Communications (Q2); Signal Processing (Q2),Agricultural and Biological Sciences; Computer Science; Physics and Astronomy,
629,13560,Ecological Psychology,journal,"15326969, 10407413","0,723",Q1,51,8,44,430,128,41,"1,88","53,75",United States,Northern America,Routledge,1989-2022,"Computer Science (miscellaneous) (Q1); Ecology, Evolution, Behavior and Systematics (Q2); Experimental and Cognitive Psychology (Q2); Social Psychology (Q2)",Agricultural and Biological Sciences; Computer Science; Psychology,
780,13845,Bulletin of Mathematical Biology,journal,"00928240, 15229602","0,591",Q2,93,137,462,6322,951,453,"2,16","46,15",United States,Northern America,Springer New York,1973-2022,"Agricultural and Biological Sciences (miscellaneous) (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q2); Computational Theory and Mathematics (Q2); Environmental Science (miscellaneous) (Q2); Mathematics (miscellaneous) (Q2); Pharmacology (Q2); Immunology (Q3); Neuroscience (miscellaneous) (Q3)","Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Computer Science; Environmental Science; Immunology and Microbiology; Mathematics; Neuroscience; Pharmacology, Toxicology and Pharmaceutics",
885,15435,Journal of Consciousness Studies,journal,"20512201, 13558250","0,521",Q3,72,66,234,3081,293,217,"0,78","46,68",United Kingdom,Western Europe,Imprint Academic,1996-2022,"Philosophy (Q1); Ecology, Evolution, Behavior and Systematics (Q2); Psychology (miscellaneous) (Q2); Artificial Intelligence (Q3)",Agricultural and Biological Sciences; Arts and Humanities; Computer Science; Psychology,
925,11200153571,Evolutionary Bioinformatics,journal,11769343,"0,497",Q3,35,29,136,1253,285,124,"2,33","43,21",New Zealand,Pacific Region,Libertas Academica Ltd.,2005-2022,"Ecology, Evolution, Behavior and Systematics (Q2); Computer Science Applications (Q3); Genetics (Q3)","Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Computer Science",
1093,24142,Artificial Life,journal,"10645462, 15309185","0,397",Q3,59,38,67,1642,211,65,"3,76","43,21",United States,Northern America,MIT Press Journals,"1995, 1997-2022","Artificial Intelligence (Q3); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q3); Ecology, Evolution, Behavior and Systematics (Q3)","Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Computer Science",
1185,5800207702,Interaction Studies,journal,"15720381, 15720373","0,346",Q3,42,5,62,293,112,60,"1,59","58,60",Netherlands,Western Europe,John Benjamins Publishing Company,2004-2021,Linguistics and Language (Q1); Communication (Q2); Animal Science and Zoology (Q3); Human-Computer Interaction (Q3),Agricultural and Biological Sciences; Computer Science; Social Sciences,
1291,21100207605,International Journal of Agricultural and Environmental Information Systems,journal,"19473206, 19473192","0,301",Q3,17,2,57,77,131,57,"2,65","38,50",United States,Northern America,IGI Global Publishing,2010-2022,Information Systems (Q3),Computer Science,
1328,21101017597,Journal of Biosystems Engineering,journal,"22341862, 17381266","0,292",Q3,9,42,112,1679,190,112,"1,98","39,98",Switzerland,Western Europe,Springer Nature Switzerland AG,"2016, 2019-2022",Agricultural and Biological Sciences (miscellaneous) (Q2); Computer Science Applications (Q3); Engineering (miscellaneous) (Q3); Mechanical Engineering (Q3),Agricultural and Biological Sciences; Computer Science; Engineering,
1351,130045,Journal of Applied Biomedicine,journal,"12140287, 1214021X","0,285",Q4,36,19,73,755,100,73,"1,39","39,74",Czech Republic,Eastern Europe,University of South Bohemia in Ceske Budejovice Faculty of Health and Social Sciences,2005-2022,"Agricultural and Biological Sciences (miscellaneous) (Q2); Pharmacology, Toxicology and Pharmaceutics (miscellaneous) (Q2); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q3); Biomedical Engineering (Q3); Immunology and Microbiology (miscellaneous)  (Q3); Medicine (miscellaneous) (Q3); Artificial Intelligence (Q4); Health, Toxicology and Mutagenesis (Q4); Neuroscience (miscellaneous) (Q4)","Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Computer Science; Engineering; Environmental Science; Immunology and Microbiology; Medicine; Neuroscience; Pharmacology, Toxicology and Pharmaceutics",
