Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2022);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories;Areas
1;19300156903;"Foundations and Trends in Machine Learning";journal;"19358245, 19358237";13,775;Q1;36;2;15;173;851;15;39,10;86,50;United States;Northern America;"Now Publishers Inc";"2008-2022";"Artificial Intelligence (Q1); Human-Computer Interaction (Q1); Software (Q1)";"Computer Science"
2;23080;"Advances in Computers";book series;"00652458";9,308;Q1;38;43;119;1679;433;2;2,79;39,05;United States;Northern America;"Academic Press Inc.";"1960-1962, 1964, 1966-1967, 1969-1973, 1975-2000, 2002-2022";"Computer Science (miscellaneous) (Q1)";"Computer Science"
3;18902;"IEEE Journal on Selected Areas in Communications";journal;"07338716";7,656;Q1;251;242;685;11676;11104;660;16,98;48,25;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1983-2022";"Computer Networks and Communications (Q1); Electrical and Electronic Engineering (Q1)";"Computer Science; Engineering"
4;19600166419;"Foundations and Trends in Signal Processing";journal;"19328346, 19328354";6,676;Q1;19;2;6;223;85;6;19,00;111,50;United States;Northern America;"Now Publishers Inc";"2007-2014, 2016-2022";"Signal Processing (Q1)";"Computer Science"
5;21100831443;"Nature Biomedical Engineering";journal;"2157846X";6,625;Q1;97;172;448;9207;7366;337;17,79;53,53;United States;Northern America;"Nature Publishing Group";"2017-2022";"Bioengineering (Q1); Biomedical Engineering (Q1); Biotechnology (Q1); Computer Science Applications (Q1); Medicine (miscellaneous) (Q1)";"Biochemistry, Genetics and Molecular Biology; Chemical Engineering; Computer Science; Engineering; Medicine"
6;18935;"IEEE Wireless Communications";journal;"15361284";6,556;Q1;177;184;467;1737;6538;430;12,42;9,44;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2002-2022";"Computer Science Applications (Q1); Electrical and Electronic Engineering (Q1)";"Computer Science; Engineering"
7;21100886132;"Science Robotics";journal;"24709476";6,479;Q1;79;90;293;4518;5483;236;13,96;50,20;United States;Northern America;"American Association for the Advancement of Science";"2016-2022";"Artificial Intelligence (Q1); Computer Science Applications (Q1); Control and Optimization (Q1); Mechanical Engineering (Q1)";"Computer Science; Engineering; Mathematics"
8;4700152228;"Molecular Systems Biology";journal;"17444292";6,220;Q1;164;65;224;4390;2203;204;8,76;67,54;United States;Northern America;"Wiley-Blackwell";"2005-2022";"Agricultural and Biological Sciences (miscellaneous) (Q1); Applied Mathematics (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Computational Theory and Mathematics (Q1); Immunology and Microbiology (miscellaneous)  (Q1); Information Systems (Q1); Medicine (miscellaneous) (Q1)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Computer Science; Immunology and Microbiology; Mathematics; Medicine"
9;21101007236;"Nature Machine Intelligence";journal;"25225839";6,210;Q1;47;153;338;7112;6247;220;16,66;46,48;Switzerland;Western Europe;"Springer Nature Switzerland AG";"2019-2022";"Artificial Intelligence (Q1); Computer Networks and Communications (Q1); Computer Vision and Pattern Recognition (Q1); Human-Computer Interaction (Q1); Software (Q1)";"Computer Science"
10;24212;"Proceedings of the IEEE Computer Society Conference on Computer Vision and Pattern Recognition";conference and proceedings;"10636919";5,952;-;470;2074;4420;113639;128436;4415;23,46;54,79;United States;Northern America;"IEEE Computer Society";"1992, 1994, 1996-2001, 2003-2004, 2006-2007, 2010-2021";"Computer Vision and Pattern Recognition; Software";"Computer Science"
